"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"31027","Anas crecca","Common Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3628","Tachybaptus ruficollis","Little Grebe","Podicipedidae (Grebes)","LC"
"3638","Podiceps grisegena","Red-necked Grebe","Podicipedidae (Grebes)","LC"
"3639","Podiceps cristatus","Great Crested Grebe","Podicipedidae (Grebes)","LC"
"3640","Podiceps auritus","Horned Grebe","Podicipedidae (Grebes)","VU"
"3641","Podiceps nigricollis","Black-necked Grebe","Podicipedidae (Grebes)","LC"
"2444","Columba livia","Rock Dove","Columbidae (Pigeons, Doves)","LC"
"2449","Columba oenas","Stock Dove","Columbidae (Pigeons, Doves)","LC"
"2452","Columba palumbus","Common Woodpigeon","Columbidae (Pigeons, Doves)","LC"
"2498","Streptopelia turtur","European Turtle-dove","Columbidae (Pigeons, Doves)","VU"
"1016754","Streptopelia decaocto","Eurasian Collared-dove","Columbidae (Pigeons, Doves)","LC"
"2401","Caprimulgus europaeus","European Nightjar","Caprimulgidae (Nightjars)","LC"
"1776","Apus apus","Common Swift","Apodidae (Swifts)","LC"
"1205","Cuculus canorus","Common Cuckoo","Cuculidae (Cuckoos)","LC"
"1016504","Rallus aquaticus","Western Water Rail","Rallidae (Rails, Gallinules, Coots)","LC"
"2878","Crex crex","Corncrake","Rallidae (Rails, Gallinules, Coots)","LC"
"2903","Porzana porzana","Spotted Crake","Rallidae (Rails, Gallinules, Coots)","LC"
"1017062","Gallinula chloropus","Common Moorhen","Rallidae (Rails, Gallinules, Coots)","LC"
"2944","Fulica atra","Common Coot","Rallidae (Rails, Gallinules, Coots)","LC"
"2794","Grus grus","Common Crane","Gruidae (Cranes)","LC"
"3865","Gavia stellata","Red-throated Loon","Gaviidae (Loons/Divers)","LC"
"3866","Gavia arctica","Arctic Loon","Gaviidae (Loons/Divers)","LC"
"3868","Gavia immer","Common Loon","Gaviidae (Loons/Divers)","LC"
"3969","Oceanites oceanicus","Wilson's Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"3976","Hydrobates pelagicus","European Storm-petrel","Hydrobatidae (Northern Storm-petrels)","LC"
"1018415","Hydrobates leucorhous","Leach's Storm-petrel","Hydrobatidae (Northern Storm-petrels)","VU"
"3872","Fulmarus glacialis","Northern Fulmar","Procellariidae (Petrels, Shearwaters)","LC"
"3933","Ardenna grisea","Sooty Shearwater","Procellariidae (Petrels, Shearwaters)","NT"
"3932","Ardenna gravis","Great Shearwater","Procellariidae (Petrels, Shearwaters)","LC"
"3936","Puffinus puffinus","Manx Shearwater","Procellariidae (Petrels, Shearwaters)","LC"
"30026","Puffinus mauretanicus","Balearic Shearwater","Procellariidae (Petrels, Shearwaters)","CR"
"3802","Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae (Ibises, Spoonbills)","LC"
"3766","Botaurus stellaris","Eurasian Bittern","Ardeidae (Herons)","LC"
"3715","Ardea cinerea","Grey Heron","Ardeidae (Herons)","LC"
"1016839","Egretta garzetta","Little Egret","Ardeidae (Herons)","LC"
"3652","Morus bassanus","Northern Gannet","Sulidae (Gannets, Boobies)","LC"
"3697","Gulosus aristotelis","European Shag","Phalacrocoracidae (Cormorants)","LC"
"3679","Phalacrocorax carbo","Great Cormorant","Phalacrocoracidae (Cormorants)","LC"
"1016871","Burhinus oedicnemus","Eurasian Thick-knee","Burhinidae (Thick-knees)","LC"
"3088","Haematopus ostralegus","Eurasian Oystercatcher","Haematopodidae (Oystercatchers)","NT"
"3107","Recurvirostra avosetta","Pied Avocet","Recurvirostridae (Avocets, Stilts)","LC"
"1016812","Himantopus himantopus","Black-winged Stilt","Recurvirostridae (Avocets, Stilts)","LC"
"3114","Pluvialis squatarola","Grey Plover","Charadriidae (Plovers)","LC"
"3111","Pluvialis apricaria","Eurasian Golden Plover","Charadriidae (Plovers)","LC"
"3147","Eudromias morinellus","Eurasian Dotterel","Charadriidae (Plovers)","LC"
"3116","Charadrius hiaticula","Common Ringed Plover","Charadriidae (Plovers)","LC"
"3119","Charadrius dubius","Little Ringed Plover","Charadriidae (Plovers)","LC"
"1016711","Charadrius alexandrinus","Kentish Plover","Charadriidae (Plovers)","LC"
"3153","Vanellus vanellus","Northern Lapwing","Charadriidae (Plovers)","NT"
"3009","Numenius phaeopus","Whimbrel","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3012","Numenius arquata","Eurasian Curlew","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT"
"3005","Limosa lapponica","Bar-tailed Godwit","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT"
"3003","Limosa limosa","Black-tailed Godwit","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT"
"3034","Arenaria interpres","Ruddy Turnstone","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3041","Calidris canutus","Red Knot","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT"
"3062","Calidris pugnax","Ruff","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3057","Calidris ferruginea","Curlew Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT"
"3047","Calidris temminckii","Temminck's Stint","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3042","Calidris alba","Sanderling","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3056","Calidris alpina","Dunlin","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3054","Calidris maritima","Purple Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3045","Calidris minuta","Little Stint","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"2978","Scolopax rusticola","Eurasian Woodcock","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"2990","Gallinago gallinago","Common Snipe","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3000","Lymnocryptes minimus","Jack Snipe","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3064","Phalaropus lobatus","Red-necked Phalarope","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3065","Phalaropus fulicarius","Red Phalarope","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3027","Actitis hypoleucos","Common Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3024","Tringa ochropus","Green Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3016","Tringa erythropus","Spotted Redshank","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3019","Tringa nebularia","Common Greenshank","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3017","Tringa totanus","Common Redshank","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3025","Tringa glareola","Wood Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC"
"3250","Hydrocoloeus minutus","Little Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3253","Xema sabini","Sabine's Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3255","Rissa tridactyla","Black-legged Kittiwake","Laridae (Gulls, Terns, Skimmers)","VU"
"3240","Larus ridibundus","Black-headed Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3245","Larus melanocephalus","Mediterranean Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3216","Larus canus","Mew Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3231","Larus fuscus","Lesser Black-backed Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"1017056","Larus argentatus","European Herring Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"1017055","Larus michahellis","Yellow-legged Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"31054","Larus glaucoides","Iceland Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3225","Larus hyperboreus","Glaucous Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3220","Larus marinus","Great Black-backed Gull","Laridae (Gulls, Terns, Skimmers)","LC"
"3276","Sternula albifrons","Little Tern","Laridae (Gulls, Terns, Skimmers)","LC"
"3292","Chlidonias niger","Black Tern","Laridae (Gulls, Terns, Skimmers)","LC"
"3266","Sterna dougallii","Roseate Tern","Laridae (Gulls, Terns, Skimmers)","LC"
"3270","Sterna hirundo","Common Tern","Laridae (Gulls, Terns, Skimmers)","LC"
"3271","Sterna paradisaea","Arctic Tern","Laridae (Gulls, Terns, Skimmers)","LC"
"3265","Thalasseus sandvicensis","Sandwich Tern","Laridae (Gulls, Terns, Skimmers)","LC"
"3202","Stercorarius longicaudus","Long-tailed Jaeger","Stercorariidae (Skuas)","LC"
"3201","Stercorarius parasiticus","Arctic Jaeger","Stercorariidae (Skuas)","LC"
"3200","Stercorarius pomarinus","Pomarine Jaeger","Stercorariidae (Skuas)","LC"
"3195","Catharacta skua","Great Skua","Stercorariidae (Skuas)","LC"
"3321","Fratercula arctica","Atlantic Puffin","Alcidae (Auks)","VU"
"3306","Cepphus grylle","Black Guillemot","Alcidae (Auks)","LC"
"3304","Alca torda","Razorbill","Alcidae (Auks)","NT"
"3305","Pinguinus impennis","Great Auk","Alcidae (Auks)","EX"
"3301","Alle alle","Little Auk","Alcidae (Auks)","LC"
"3302","Uria aalge","Common Murre","Alcidae (Auks)","LC"
"2155","Tyto alba","Common Barn-owl","Tytonidae (Barn-owls)","LC"
"2287","Athene noctua","Little Owl","Strigidae (Typical Owls)","LC"
"2318","Asio otus","Northern Long-eared Owl","Strigidae (Typical Owls)","LC"
"2322","Asio flammeus","Short-eared Owl","Strigidae (Typical Owls)","LC"
"1016489","Strix aluco","Tawny Owl","Strigidae (Typical Owls)","LC"
"2236","Bubo scandiacus","Snowy Owl","Strigidae (Typical Owls)","VU"
"3324","Pandion haliaetus","Osprey","Pandionidae (Osprey)","LC"
"3334","Pernis apivorus","European Honey-buzzard","Accipitridae (Hawks, Eagles)","LC"
"3537","Aquila chrysaetos","Golden Eagle","Accipitridae (Hawks, Eagles)","LC"
"3399","Circus aeruginosus","Western Marsh-harrier","Accipitridae (Hawks, Eagles)","LC"
"1016807","Circus cyaneus","Hen Harrier","Accipitridae (Hawks, Eagles)","LC"
"3411","Circus pygargus","Montagu's Harrier","Accipitridae (Hawks, Eagles)","LC"
"3455","Accipiter nisus","Eurasian Sparrowhawk","Accipitridae (Hawks, Eagles)","LC"
"3466","Accipiter gentilis","Northern Goshawk","Accipitridae (Hawks, Eagles)","LC"
"3364","Haliaeetus albicilla","White-tailed Sea-eagle","Accipitridae (Hawks, Eagles)","LC"
"3353","Milvus milvus","Red Kite","Accipitridae (Hawks, Eagles)","NT"
"3521","Buteo lagopus","Rough-legged Buzzard","Accipitridae (Hawks, Eagles)","LC"
"1017018","Buteo buteo","Eurasian Buzzard","Accipitridae (Hawks, Eagles)","LC"
"1181","Merops apiaster","European Bee-eater","Meropidae (Bee-eaters)","LC"
"1066","Alcedo atthis","Common Kingfisher","Alcedinidae (Kingfishers)","LC"
"538","Jynx torquilla","Eurasian Wryneck","Picidae (Woodpeckers)","LC"
"112656","Picus viridis","Eurasian Green Woodpecker","Picidae (Woodpeckers)","LC"
"632","Dryobates minor","Lesser Spotted Woodpecker","Picidae (Woodpeckers)","LC"
"643","Dendrocopos major","Great Spotted Woodpecker","Picidae (Woodpeckers)","LC"
"3590","Falco tinnunculus","Common Kestrel","Falconidae (Falcons, Caracaras)","LC"
"3608","Falco columbarius","Merlin","Falconidae (Falcons, Caracaras)","LC"
"3610","Falco subbuteo","Eurasian Hobby","Falconidae (Falcons, Caracaras)","LC"
"1016472","Falco peregrinus","Peregrine Falcon","Falconidae (Falcons, Caracaras)","LC"
"1017499","Oriolus oriolus","Eurasian Golden Oriole","Oriolidae (Orioles and figbirds)","LC"
"5526","Lanius collurio","Red-backed Shrike","Laniidae (Shrikes)","LC"
"1017645","Lanius excubitor","Great Grey Shrike","Laniidae (Shrikes)","LC"
"5548","Lanius senator","Woodchat Shrike","Laniidae (Shrikes)","LC"
"5755","Pyrrhocorax pyrrhocorax","Red-billed Chough","Corvidae (Crows and jays)","LC"
"1017653","Garrulus glandarius","Eurasian Jay","Corvidae (Crows and jays)","LC"
"1017656","Pica pica","Eurasian Magpie","Corvidae (Crows and jays)","LC"
"5758","Corvus monedula","Eurasian Jackdaw","Corvidae (Crows and jays)","LC"
"5773","Corvus frugilegus","Rook","Corvidae (Crows and jays)","LC"
"5797","Corvus corax","Common Raven","Corvidae (Crows and jays)","LC"
"5783","Corvus corone","Carrion Crow","Corvidae (Crows and jays)","LC"
"32610","Periparus ater","Coal Tit","Paridae (Tits and chickadees)","LC"
"7034","Lophophanes cristatus","Crested Tit","Paridae (Tits and chickadees)","LC"
"32616","Poecile palustris","Marsh Tit","Paridae (Tits and chickadees)","LC"
"1099042","Poecile montanus","Willow Tit","Paridae (Tits and chickadees)","LC"
"1017718","Cyanistes caeruleus","Eurasian Blue Tit","Paridae (Tits and chickadees)","LC"
"32615","Parus major","Great Tit","Paridae (Tits and chickadees)","LC"
"8181","Eremophila alpestris","Horned Lark","Alaudidae (Larks)","LC"
"8176","Lullula arborea","Woodlark","Alaudidae (Larks)","LC"
"1017239","Alauda arvensis","Eurasian Skylark","Alaudidae (Larks)","LC"
"8044","Panurus biarmicus","Bearded Reedling","Panuridae (Bearded Reedling)","LC"
"7635","Hippolais polyglotta","Melodious Warbler","Acrocephalidae (Reed-warblers)","LC"
"7636","Hippolais icterina","Icterine Warbler","Acrocephalidae (Reed-warblers)","LC"
"7597","Acrocephalus paludicola","Aquatic Warbler","Acrocephalidae (Reed-warblers)","VU"
"7598","Acrocephalus schoenobaenus","Sedge Warbler","Acrocephalidae (Reed-warblers)","LC"
"7606","Acrocephalus palustris","Marsh Warbler","Acrocephalidae (Reed-warblers)","LC"
"7603","Acrocephalus scirpaceus","Common Reed-warbler","Acrocephalidae (Reed-warblers)","LC"
"7594","Locustella luscinioides","Savi's Warbler","Locustellidae (Grasshopper-warblers and grassbirds)","LC"
"7589","Locustella naevia","Common Grasshopper-warbler","Locustellidae (Grasshopper-warblers and grassbirds)","LC"
"1017973","Delichon urbicum","Northern House Martin","Hirundinidae (Swallows and martins)","LC"
"7116","Hirundo rustica","Barn Swallow","Hirundinidae (Swallows and martins)","LC"
"1018013","Riparia riparia","Collared Sand Martin","Hirundinidae (Swallows and martins)","LC"
"7706","Phylloscopus sibilatrix","Wood Warbler","Phylloscopidae (Leaf-warblers)","LC"
"7719","Phylloscopus inornatus","Yellow-browed Warbler","Phylloscopidae (Leaf-warblers)","LC"
"7701","Phylloscopus trochilus","Willow Warbler","Phylloscopidae (Leaf-warblers)","LC"
"1018137","Phylloscopus collybita","Common Chiffchaff","Phylloscopidae (Leaf-warblers)","LC"
"7554","Cettia cetti","Cetti's Warbler","Scotocercidae (Bush-warblers)","LC"
"1018215","Aegithalos caudatus","Long-tailed Tit","Aegithalidae (Long-tailed Tits)","LC"
"8073","Sylvia atricapilla","Eurasian Blackcap","Sylviidae (Old World warblers)","LC"
"8074","Sylvia borin","Garden Warbler","Sylviidae (Old World warblers)","LC"
"8080","Sylvia nisoria","Barred Warbler","Sylviidae (Old World warblers)","LC"
"32426","Sylvia curruca","Lesser Whitethroat","Sylviidae (Old World warblers)","LC"
"8075","Sylvia communis","Common Whitethroat","Sylviidae (Old World warblers)","LC"
"8090","Sylvia undata","Dartford Warbler","Sylviidae (Old World warblers)","NT"
"6907","Certhia brachydactyla","Short-toed Treecreeper","Certhiidae (Treecreepers)","LC"
"32439","Certhia familiaris","Eurasian Treecreeper","Certhiidae (Treecreepers)","LC"
"1018262","Sitta europaea","Eurasian Nuthatch","Sittidae (Nuthatches and Wallcreeper)","LC"
"1018282","Troglodytes troglodytes","Northern Wren","Troglodytidae (Wrens)","LC"
"6273","Cinclus cinclus","White-throated Dipper","Cinclidae (Dippers)","LC"
"6815","Sturnus vulgaris","Common Starling","Sturnidae (Starlings)","LC"
"6409","Turdus viscivorus","Mistle Thrush","Turdidae (Thrushes)","LC"
"6407","Turdus philomelos","Song Thrush","Turdidae (Thrushes)","LC"
"6406","Turdus iliacus","Redwing","Turdidae (Thrushes)","NT"
"1018298","Turdus merula","Eurasian Blackbird","Turdidae (Thrushes)","LC"
"6405","Turdus pilaris","Fieldfare","Turdidae (Thrushes)","LC"
"6392","Turdus torquatus","Ring Ouzel","Turdidae (Thrushes)","LC"
"6486","Muscicapa striata","Spotted Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6588","Erithacus rubecula","European Robin","Muscicapidae (Chats and Old World flycatchers)","LC"
"6596","Cyanecula svecica","Bluethroat","Muscicapidae (Chats and Old World flycatchers)","LC"
"6593","Luscinia megarhynchos","Common Nightingale","Muscicapidae (Chats and Old World flycatchers)","LC"
"32599","Ficedula parva","Red-breasted Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6512","Ficedula hypoleuca","European Pied Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6651","Phoenicurus ochruros","Black Redstart","Muscicapidae (Chats and Old World flycatchers)","LC"
"6652","Phoenicurus phoenicurus","Common Redstart","Muscicapidae (Chats and Old World flycatchers)","LC"
"6678","Saxicola rubetra","Whinchat","Muscicapidae (Chats and Old World flycatchers)","LC"
"6682","Saxicola torquatus","Common Stonechat","Muscicapidae (Chats and Old World flycatchers)","LC"
"1017787","Oenanthe oenanthe","Northern Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC"
"32427","Regulus regulus","Goldcrest","Regulidae (Kinglets and firecrests)","LC"
"32428","Regulus ignicapilla","Common Firecrest","Regulidae (Kinglets and firecrests)","LC"
"6270","Bombycilla garrulus","Bohemian Waxwing","Bombycillidae (Waxwings)","LC"
"8477","Prunella modularis","Dunnock","Prunellidae (Accentors)","LC"
"1018036","Passer domesticus","House Sparrow","Passeridae (Sparrows, snowfinches and allies)","LC"
"8385","Passer montanus","Eurasian Tree Sparrow","Passeridae (Sparrows, snowfinches and allies)","LC"
"8446","Anthus trivialis","Tree Pipit","Motacillidae (Wagtails and pipits)","LC"
"8449","Anthus pratensis","Meadow Pipit","Motacillidae (Wagtails and pipits)","NT"
"8453","Anthus spinoletta","Water Pipit","Motacillidae (Wagtails and pipits)","LC"
"8452","Anthus petrosus","Rock Pipit","Motacillidae (Wagtails and pipits)","LC"
"1018054","Anthus richardi","Richard's Pipit","Motacillidae (Wagtails and pipits)","LC"
"8436","Anthus campestris","Tawny Pipit","Motacillidae (Wagtails and pipits)","LC"
"1018059","Motacilla flava","Western Yellow Wagtail","Motacillidae (Wagtails and pipits)","LC"
"8412","Motacilla cinerea","Grey Wagtail","Motacillidae (Wagtails and pipits)","LC"
"8403","Motacilla alba","White Wagtail","Motacillidae (Wagtails and pipits)","LC"
"8755","Fringilla coelebs","Common Chaffinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8757","Fringilla montifringilla","Brambling","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8887","Coccothraustes coccothraustes","Hawfinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8854","Carpodacus erythrinus","Common Rosefinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8885","Pyrrhula pyrrhula","Eurasian Bullfinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8808","Chloris chloris","European Greenfinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8835","Linaria flavirostris","Twite","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8836","Linaria cannabina","Common Linnet","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"112651","Acanthis flammea","Redpoll","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8876","Loxia pytyopsittacus","Parrot Crossbill","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8877","Loxia scotica","Scottish Crossbill","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8878","Loxia curvirostra","Red Crossbill","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"1017737","Carduelis carduelis","European Goldfinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8759","Serinus serinus","European Serin","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8813","Spinus spinus","Eurasian Siskin","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8970","Calcarius lapponicus","Lapland Longspur","Calcariidae (Longspurs)","LC"
"8973","Plectrophenax nivalis","Snow Bunting","Calcariidae (Longspurs)","LC"
"8960","Emberiza melanocephala","Black-headed Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8968","Emberiza calandra","Corn Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8941","Emberiza hortulana","Ortolan Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8933","Emberiza cirlus","Cirl Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8930","Emberiza citrinella","Yellowhammer","Emberizidae (Buntings, American sparrows and allies)","LC"
"8966","Emberiza schoeniclus","Reed Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
